Country,Type,Name,Latitude,Longitude,Notes
Iran,Air Base,Mehrabad International Airport,35.6886,51.3128,F-14s located at this base
Iran,Air Base,Tabriz Air Base,38.1289,46.24,
Iran,Air Base,Hamadan Airbase / Shahrokhi Air Base,35.2103,48.6533,"F-4D/Es reported to serve here, 1990s"
Iran,Air Base,Vahdati Air Base / Dezful,32.4325,48.4019,
Iran,Air Base,Omidiyeh Air Base,30.8308,49.5431,
Iran,Air Base,Bushehr Airport,28.9447,50.8344,"F-4D/Es reported to serve here, 1990s"
Iran,Air Base,Shiraz International Airport,29.5364,52.5883,
Iran,Air Base,Isfahan International Airport,32.7469,51.8547,F-14 Tomcats based here
Iran,Air Base,Bandar Abbas International Airport,27.2181,56.3778,F-4D/Es and Su-22s based here
Iran,Air Base,Chahbahar Air Airport,25.4447,60.3819,
Iran,Air Base,Doshan Tappeh Air Base,35.7031,51.4753,
Iran,Air Base,Birjand International Airport,32.8981,59.2661,
Iran,Air Base,Zahedan International Airport,29.4747,60.9061,
Iran,Air Base,Mashhad International Airport,36.2353,59.6439,
Iran,Air Base,Kermanshah Airport,34.3501,47.1648,
Iran,Air Base,Kerman Airport,30.2658,56.9594,
Iran,Air Base,Shahid Asyaee Airport / Masjed Soleyman,31.9994,49.2711,
Iran,Underground Air Base,Oghab 44,28.0564,55.5067,Underground base
Iran,Former military aviation installations,Ghale Morghi Air Base / Qaleh Morgi,35.6447,51.3808,Converted into VELAYAT park
Iran,Other military aviation installations,Ahmadi Military Air Field,29.0992,51.0353,
Iran,Other military aviation installations,Badr Air Base / Sepah Air Base,32.6211,51.6969,
Iran,Other military aviation installations,Bishe Kola Air Base,36.655,52.3494,
Iran,Other military aviation installations,Darrahi Military Air Field,29.3758,51.0675,
Iran,Other military aviation installations,Gorreh Military Air Field,29.9069,50.4286,
Iran,Other military aviation installations,Hesa Air Base,32.9289,51.5611,
Iran,Other military aviation installations,Jask Air Field,25.6531,57.7975,
Iran,Other military aviation installations,Kashan Air Base,33.8953,51.5769,
Iran,Other military aviation installations,Kish Island Airport,26.5258,53.9811,Civil/military
Iran,Other military aviation installations,Kushke Nosrat Airport / Manzariyeh,34.9839,50.8061,
Iran,Other military aviation installations,Nain Air Base,32.8628,53.06,
Iran,Other military aviation installations,Naja Air Base,35.7761,50.8808,
Iran,Other military aviation installations,Qezel Qeshl Ag Military Air Field,39.1111,45.3339,
Iran,Other military aviation installations,Shahid Vatan Pour Air Base,32.5692,51.6867,
Iran,Other military aviation installations,Soga Air Base,37.6278,56.1731,
Iran,Other military aviation installations,Urumiyeh Airport,37.6708,45.0719,Civil/military
Iran,Civil airports,Abadan-Ayatollah Jami International Airport,30.3644,48.2311,
Iran,Civil airports,Abdanan Air Field,32.9336,47.4856,
Iran,Civil airports,Abamusa Island Airport,25.8756,55.0328,
Iran,Civil airports,Aghajari Airport,30.7444,49.6772,
Iran,Civil airports,Ahvaz Airport,31.3369,48.7611,
Iran,Civil airports,Bandar Lengeh Airport,26.5314,54.8214,
Iran,Civil airports,Bastak Airport,27.2125,54.3183,
Iran,Civil airports,Gachsaran Air Field,30.3372,50.8281,
Iran,Civil airports,Gorgan Airport,36.9069,54.4044,
Iran,Civil airports,Ilam Airport,33.6258,46.4181,
Iran,Civil airports,Khanian Air Field,37.4833,45.9167,
Iran,Civil airports,Khark Island Airport,29.2589,50.3239,
Iran,Civil airports,Khorramabad Airport,33.4342,48.2842,
Iran,Civil airports,Noshahr Airport,36.6633,51.4647,
Iran,Civil airports,Parsabad-Moghan Airport,39.6047,47.8778,
Iran,Civil airports,Qazvin Airport,36.2397,50.0483,
Iran,Civil airports,Rasht Airport,37.3236,49.6089,
Iran,Civil airports,Ramsar Airport,36.9086,50.6797,
Iran,Civil airports,Sabzevar Airport,36.1681,57.5952,
Iran,Civil airports,Sahand Airport / Maragheh,37.3478,46.1261,
Iran,Civil airports,Shahabad Highway Strip,34.0683,46.5989,
Iran,Civil airports,Yazd Shahid Sadooghi Airport,31.9014,54.2808,
